Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
728,Drake - Signs,17,,19,,15924680,140710058
729,Bebe Rexha - I Got You,29,,55,,7079065,140554199
730,Halsey - Bad At Love,26,,68,,7147419,140454553
731,Cardi B - Please Me,15,,20,,16331768,140425335
732,Little Mix - Shout Out to My Ex,21,,17,,13092597,140269572
733,XXXTENTACION - BAD!,13,1.0,6,,22370036,139961391
734,David Guetta - Bad,30,10.0,2,(x2),7673364,139791905
735,Sia - Cheap Thrills,38,,59,,5068632,139773219
736,Sage The Gemini - Now and Later,19,,29,,10654068,139602315
737,Lil Uzi Vert - The Way Life Goes,23,,44,,9341555,139089148
738,Chino & Nacho - Andas En Mi Cabeza,44,,105,,3629891,139073573
739,Macklemore & Ryan Lewis - Downtown,30,,16,,8352728,138661832
740,Alan Walker - Alone,21,,36,,9173336,137666887
741,Ariana Grande - Don’t Call Me Angel (Charlie’s Angels),11,2.0,3,(x1),32667288,137203073
742,Sech - Si Te Vas,18,,48,,9387945,136779930
743,Billie Eilish - bad guy,13,1.0,9,,21458729,136746503
744,JAY Z - Ni**as In Paris,80,,132,,2527335,136437369
745,Lady Gaga - The Cure,19,,33,,11818268,136360277
746,Taylor Swift - ...Ready For It?,19,,13,,17763978,136086748
747,Shakira - Me Enamoré,26,,71,,6525973,135848478
748,Daddy Yankee - Que Tire Pa Lante,15,,25,,12258421,135709773
749,Famous Dex - JAPAN,20,,34,,10795322,135679938
750,Robin Schulz - Headlights,35,,21,,7022425,135536701
751,Ozuna - Solita,26,,75,,6811201,135069082
752,Arctic Monkeys - Do I Wanna Know?,84,,38,,2269902,135000906
753,MC Fioti - Bum Bum Tam Tam,21,,66,,7524726,134979902
754,Michael Bublé - Holly Jolly Christmas,23,,24,,19721103,134683571
755,Ed Sheeran - Dive,21,,11,,22520144,134677281
756,Dalex - Cuaderno,21,,66,,8152027,134198033
757,Nicky Jam - X - Remix,19,,37,,11380927,134146384
758,Piso 21 - Te Amo,25,,76,,6583634,134144734
759,Selena Gomez - Look At Her Now,14,1.0,9,,21790923,133920158
760,Becky G - Shower,41,1.0,10,,6395087,133754216
761,Niall Horan - This Town,23,,22,,12612335,133465169
762,Years & Years - King,34,,21,,7173514,133115545
763,Queen - Somebody To Love - Remastered 2011,22,,50,,9260667,132982997
764,Tove Lo - Stay High - Habits Remix,44,,12,,5045008,132875683
765,Lewis Capaldi - Before You Go,10,,19,,15653077,132477376
766,Bing Crosby - White Christmas,20,,26,,15643273,132418829
767,AronChupa - I'm an Albatraoz,46,,21,,4552106,132335496
768,Big Shaq - Man's Not Hot,19,,36,,10229463,132292671
769,Demi Lovato - Cool for the Summer,35,,16,,7826287,132199923
770,Post Malone - Paranoid,13,1.0,4,,31182644,131467348
771,Sheppard - Geronimo,43,,18,,5387659,131464626
772,José Feliciano - Feliz Navidad,19,,21,,20300178,130566180
773,Drake - Pop Style,27,,23,,11898517,130356369
774,Bryson Tiller - Exchange,45,,65,,4020032,130212326
775,Adele - Water Under the Bridge,25,,51,,7530043,130072233
776,Myke Towers - Si Se Da,22,,97,,6822944,130043307
777,J Balvin - Mi Gente,14,,15,,15823808,129880923
778,Post Malone - Hollywood's Bleeding,13,1.0,5,,28946369,129787906
779,Tove Lo - Talking Body,38,,27,,6208542,129753440
780,Jennifer Lopez - Ain't Your Mama,30,,54,,5758619,129575363
781,"benny blanco - I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",13,,21,,16111773,128974936
782,G-Eazy - Good Life,17,,25,,12786896,128556553
783,Sam Smith - Money On My Mind,52,,13,,4103335,128529242
784,Nevada - The Mack,20,,32,,8814434,128422588
785,Petit Biscuit - Sunset Lover,25,,53,,7245899,127926039
786,Post Malone - Enemies,13,1.0,7,,25861671,127662405
787,Niall Horan - Too Much To Ask,18,,37,,11073444,127598111
788,Calvin Harris - Rollin,17,,38,,11604438,127584680
789,Sebastian Yatra - Por Perro,22,,84,,6707725,127370734
790,Alvaro Soler - La Cintura,18,,42,,10848362,127107786
791,Fall Out Boy - Centuries,53,,21,,5282344,126934681
792,Lorde - Team,57,,14,,3798882,126720090
793,Lil Uzi Vert - Sanguine Paradise,18,,38,,10891403,126518401
794,Lord Huron - The Night We Met,27,,55,,8362185,126510049
795,Ruth B. - Lost Boy,43,,79,,3787147,126471242
796,Camila Cabello - My Oh My,8,,15,,19300578,125770224
797,The Weeknd - In The Night,28,,28,,7386246,125286757
798,Khalid - Talk,8,,17,,17410486,125251511
799,DJ Snake - Turn Down for What,59,,14,,4322985,124742389
800,Mustard - Ballin',17,,42,,12004885,124580127
801,DaBaby - VIBEZ,18,,53,,9002968,124129577
802,Daddy Yankee - Vuelve,23,,71,,6653418,123879341
803,Ozuna - Unica,21,,63,,7754505,123578496
804,Meghan Trainor - Lips Are Movin,34,1.0,9,,7073920,123100945
805,Future - Selfish,18,,45,,9935891,122944542
806,Rich Music LTD - Quizas,16,,52,,8814040,122482375
807,Apache 207 - Roller,19,,66,,8395606,122348079
808,CNCO - Reggaetón Lento (Remix),20,,56,,7716858,121993437
809,Bruno Mars - Versace on the Floor,30,,80,,5137524,121744296
810,Tiësto - Wasted,44,6.0,7,,5984920,121736213
811,David Guetta - Lovers on the Sun,40,,13,,5798766,121682700
812,Lizzo - Good As Hell,14,,29,,12495965,121504824
813,XXXTENTACION - Hope,23,,42,,10147938,121498327
814,Taylor Swift - Delicate,18,,26,,12788750,121403504
815,"Daya - Sit Still, Look Pretty",36,,74,,4595306,121398109
816,Anuel Aa - Quiere Beber,17,,45,,9739397,121332715
817,Kanye West - All Mine,11,2.0,3,(x1),27716117,121282862
818,Wisin - Vacaciones,31,,79,,5214524,120790549
819,Kesha - Praying,20,,37,,9957610,120718178
820,Jason Derulo - If It Ain't Love,20,,38,,8780099,120571011
821,Nicky Jam - Whine Up,13,,44,,9807122,120182091
822,The Weeknd - Often,62,,41,,5054030,120070975
823,Logic - Homicide,12,2.0,3,(x1),27894553,119989488
824,6ix9ine - KIKA,15,,12,,17735352,119680983
825,Sebastian Yatra - SUTRA,24,,96,,6224427,119635665
826,Jason Derulo - Trumpets,60,,26,,3583542,119271329
827,Joji - SLOW DANCING IN THE DARK,23,,75,,7237051,118408972
828,Jax Jones - Breathe,20,,48,,9283638,117899105
829,Miguel - Sky Walker,21,,69,,7143348,117642137
830,Normani - Motivation,14,,42,,10353406,117321765
831,Calum Scott - Dancing On My Own,32,,70,,4798016,116897730
832,MKTO - Classic,50,,14,,4790578,116781668
833,Queen - We Will Rock You - Remastered,22,,73,,7615977,116777009
834,Sam Smith - Have Yourself A Merry Little Christmas,21,,29,,14168829,116528439
835,Young Thug - pick up the phone,34,,87,,4277147,116352106
836,Nicki Minaj - Bed,12,,22,,14917808,116241025
837,Big Sean - I Don't Fuck With You,51,,34,,3981169,116037513
838,Avicii - The Days,35,5.0,4,,7862217,115777670
839,Liam Payne - Familiar,18,,57,,10135185,115586518
840,Nicky Jam - Si Tú La Ves,30,,117,,4306871,114894480
841,Brytiago - Asesina,18,,73,,7188038,114816809
842,Miley Cyrus - Wrecking Ball,44,16.0,1,(x5),6033827,114320139
843,Major Lazer - Que Calor,19,,77,,7093193,114262048
844,OMI - Hula Hoop,28,,26,,6732598,113968894
845,YNW Melly - Mixed Personalities,17,,59,,8922507,113541444
846,OneRepublic - Rich Love,18,,49,,9304763,113527123
847,Tory Lanez - LUV,22,,40,,8807940,113130035
848,Tinie Tempah - Girls Like,27,,53,,5740481,113048547
849,Karol G - Créeme,21,,114,,6222776,112683252
850,"Kygo - Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",14,,36,,11997661,112350215
851,Maroon 5 - Wait,21,,67,,7246334,112003633
852,The Pogues - Fairytale of New York,21,,49,,12259858,111974270
853,Drake - Back To Back,41,,55,,3888413,111877007
854,SZA - Love Galore,23,,73,,6402678,111770526
855,Snakehips - Don't Leave,17,,40,,9379581,111727169
856,Chris Brown - Ayo,41,,23,,6012390,111309831
857,Fetty Wap - Again,34,,43,,5040302,111166378
858,Jeremy Zucker - comethru,21,,111,,6088886,111135224
859,One Direction - History,34,,29,,7159428,111125951
860,Manuel Turizo - Esclavo de Tus Besos,17,,73,,7761767,110198680
861,P!nk - Walk Me Home,16,,55,,8647234,110034730
862,Aaron Smith - Dancin,21,,101,,6605984,109888832
863,Hailee Steinfeld - Capital Letters,14,,34,,11580726,109875183
864,Drake - Gyalchester,17,,25,,14823651,109393222
865,Justin Quiles - DJ No Pare,19,,85,,6682269,109354057
866,Blanco Brown - The Git Up,18,,64,,7922819,109244732
867,5 Seconds of Summer - Easier,13,,23,,13581944,109119377
868,Chris Brown - Questions,17,,56,,7682316,108971155
869,J Balvin - Bobo,31,,72,,4385391,108699305
870,Juice WRLD - Lean Wit Me,19,,84,,7126666,107740635
871,Ella Henderson - Ghost,36,,23,,4637141,107718733
872,ZAYN - Still Got Time,17,,46,,9993322,107373959
873,Natalie La Rose - Somebody,30,,30,,5831086,107267766
874,Lunay - Aventura,14,,50,,8874749,107167885
875,Zay Hilfigerrr - Juju On That Beat (TZ Anthem),17,,28,,9428231,107164431
876,Thalía - No Me Acuerdo,18,,66,,7460620,106993167
877,5 Seconds of Summer - Teeth,14,,46,,9555911,106875314
878,Tyga - Ayy Macarena,11,,37,,12456752,106411619
879,Rachel Platten - Fight Song,37,,38,,5371926,106317603
880,Mabel - Mad Love,15,,54,,9823977,105881669
881,Kendrick Lamar - ELEMENT.,16,1.0,10,,21832141,105356912
882,Wisin & Yandel - Aullando,18,,109,,6475650,105327096
883,Alex Rose - Toda - Remix,20,,103,,6027173,105208507
884,Drake - Sneakin’,22,,43,,8062614,104875536
885,David Guetta - Don't Leave Me Alone,15,,42,,10332824,104744850
886,Future - Life Is Good,3,3.0,3,(x1),39404104,104465784
887,R3HAB - All Around The World (La La La),15,,59,,9125803,104395994
888,Ozuna - Tú Foto,20,,73,,6466640,103781272
889,DJ Snake - You Know You Like It,35,,22,,6651427,103739242
890,Sebastian Yatra - Runaway,15,,57,,9284418,103506300
891,Bad Bunny - Solo de Mi,14,,38,,10172678,103367656
892,One Direction - Steal My Girl,26,2.0,9,,7108569,103320466
893,Tiësto - Ritual,16,,72,,7660524,103252399
894,Billie Eilish - my strange addiction,13,,16,,18477082,103077145
895,Drake - Energy,49,,22,,5202432,103068835
896,Diplo - Be Right There,32,,58,,4000881,102677529
897,Travis Scott - Antidote,36,,52,,4396483,102513126
898,Joey Montana - Picky,35,,73,,3548551,102503275
899,ZAYN - LIKE I WOULD,17,,25,,10057359,102190889
900,Jess Glynne - Hold My Hand,33,,30,,6004857,102065841
901,Dimitri Vegas & Like Mike - Instagram,17,,81,,7098297,101939379
902,Kodak Black - Codeine Dreaming,18,,50,,8413714,101903182
903,Don Toliver - No Idea,9,,26,,13905621,101856499
904,Dalex - Hola - Remix,11,,33,,12805722,101720535
905,Kehlani - Nights Like This,13,,37,,11568466,101573739
906,Dawin - Dessert,34,,56,,4069007,100784104
907,Lil Mosey - Stuck In A Dream,15,,37,,10615406,100710452
908,Astrid S - Hurts So Good,28,,76,,4577312,100642692
909,Jason Derulo - Goodbye,14,,45,,9914855,100485345
910,Post Malone - Spoil My Night,11,1.0,9,,25175356,100446929
911,Kanye West - Father Stretch My Hands Pt. 1,31,,33,,8503618,99997626
912,Camila Cabello - Havana - Remix,16,,50,,8348340,99942863
913,Elle King - Ex's & Oh's,34,,56,,3845103,99254269
914,Elvis Presley - Blue Christmas,20,,59,,11774400,99248138
915,Yandel - Explícale,22,,101,,5125876,99033405
916,Post Malone - Stay,11,,11,,23585361,98985894
917,James Arthur - Naked,18,,86,,6399541,98819364
918,XXXTENTACION - whoa (mind in awe),11,1.0,10,,18505893,98614081
919,Ed Sheeran - Tenerife Sea,60,,94,,3235261,98613738
920,Wolfine - Bella - Remix,18,,81,,6391246,98540698
921,Ant Saunders - Yellow Hearts,12,,45,,9630162,98292737
922,Young Thug - Hot,13,,46,,9768494,98280474
923,Kris Kross Amsterdam - Whenever,15,,47,,10007070,97962201
924,The Chainsmokers - Somebody,15,,58,,7978667,97856504
925,Ozuna - Baila Baila Baila - Remix,16,,71,,7841458,97814060
926,Ozuna - Tu Foto,17,,72,,6267272,97515450
927,Ed Sheeran - Antisocial,9,1.0,7,,25282995,97470855
928,blackbear - do re mi,23,,77,,6560095,97386258
929,Kiesza - Hideaway,41,,28,,3944528,97212272
930,Nat King Cole - The Christmas Song (Merry Christmas To You),13,,30,,16246584,97127534
931,Ed Sheeran - What Do I Know?,14,,14,,20428343,96973016
932,Calboy - Envy Me,17,,92,,6725641,96770086
933,Luke Christopher - Lot to Learn,20,,60,,6341248,96688144
934,Beyoncé - Drunk in Love,48,,11,,4070089,96556083
935,Drake - Know Yourself,44,,28,,4613145,96483912
936,Don Omar - Te Quiero Pa´Mi,27,,140,,3962918,96399513
937,Billie Eilish - xanny,12,,13,,20257146,96374570
938,Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,26,,90,,4421273,96311281
939,Jeremih - oui,30,,65,,4380356,96205176
940,Bad Bunny - NI BIEN NI MAL,14,,56,,8693828,95916899
941,Myke Towers - Si Se Da - Remix,16,,68,,7608980,95855837
942,Eminem - Venom - Music From The Motion Picture,13,,34,,13202544,95735266
943,Fifth Harmony - Down,15,,52,,8522249,95651595
944,"Lil Baby - Never Recover (Lil Baby & Gunna, Drake)",14,,27,,12999466,95283224
945,The Lumineers - Ophelia,39,,81,,3705255,95038648
946,Miley Cyrus - Mother's Daughter,12,,18,,14567926,94985652
947,Daddy Yankee - Shaky Shaky,29,,80,,4397105,94564140
948,Niall Horan - Nice To Meet Ya,14,,56,,8851964,94536356
949,Gente De Zona - La Gozadera,47,,88,,2541185,94485801
950,NLE Choppa - Camelot,12,,47,,9579243,94451684
951,Matoma - Running Out,29,,62,,3885945,94404825
952,Drake - Mob Ties,11,,11,,25933856,94167463
953,Ayo & Teo - Rolex,23,,99,,5150802,94084741
954,J. Cole - KOD,10,1.0,6,,25826342,94012159
955,Future - Fine China,14,,21,,14436312,93872289
956,2 Chainz - It's A Vibe,22,,106,,4998859,93669512
957,King Princess - 1950,15,,61,,8088141,93339639
958,Paul McCartney - Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,9,,15,,18378455,93214008
959,The Script - Superheroes,30,,13,,5843081,93167398
960,Ozuna - El Farsante,21,,105,,4972480,93009447
961,DNCE - Toothbrush,21,,55,,6096845,92982324
962,Ozuna - Dile Que Tu Me Quieres,26,,94,,4792536,92970831
963,Avicii - Heaven,10,,13,,18246581,92897382
964,DJ Snake - A Different Way,17,,66,,7201200,92851548
965,Burl Ives - A Holly Jolly Christmas - Single Version,13,,37,,13793327,92405438
966,Lady Gaga - Million Reasons,27,,79,,5446634,92282800
967,Young Thug - Hot (Remix),13,,33,,11338485,92214148
968,Kygo - Raging,21,,43,,7300654,92162832
969,A Boogie Wit da Hoodie - Startender,14,,57,,8247911,92055080
970,PARTYNEXTDOOR - Come and See Me,35,,95,,3214687,91777120
971,Eminem - The Ringer,8,1.0,3,(x1),30918553,91694733
972,Kevin Gates - 2 Phones,29,,59,,4800818,91594498
973,Julia Michaels - Heaven,12,,34,,11159967,91399040
974,Rich The Kid - Splashin,16,,91,,6875259,91069850
975,J Balvin - Machika,14,,63,,7958019,90885626
976,Ozuna - Ibiza,18,,98,,6097459,90787617
977,Lil Skies - Nowadays,17,,87,,6232846,90586487
978,Lauv - Mean It,11,,27,,12015729,90221589
979,Demi Lovato - Body Say,19,,59,,5510873,90084120
980,Halsey - New Americana,31,,61,,3499359,90038162
981,Macklemore - Good Old Days,15,,56,,7544458,89764609
982,Sam Smith - Like I Can,39,,22,,5174180,89712581
983,Chris Rea - Driving Home for Christmas,14,,21,,16575452,89408625
984,Tyga - SWISH,14,,51,,8459417,89386597
985,Lil Uzi Vert - Futsal Shuffle 2020,7,,18,,20451202,89307523
986,Pitbull - Fireball,42,,26,,4503000,89264410
987,Robin Thicke - Blurred Lines,59,1.0,8,,3382254,89153778
988,Alan Walker - Sing Me to Sleep,21,,55,,5375539,89074497
989,Metro Boomin - Space Cadet,16,,63,,8046707,89021303
990,Kygo - Here for You,29,,42,,5212658,88762576
991,Kanye West - Follow God,6,1.0,4,,31273064,88681073
992,6ix9ine - MALA,14,,71,,8277285,88628231
993,Taylor Swift - ME!,3,3.0,2,(x1),37826059,88477470
994,Noah Cyrus - Make Me (Cry),17,,54,,6663105,88375386
995,Lil Pump - Esskeetit,15,,51,,9987084,88119058
996,Brytiago - Asesina - Remix,17,,124,,5750675,88061167
997,Lil Uzi Vert - You Was Right,32,,119,,3906269,87935965
998,Ed Sheeran - New Man,11,,12,,21746337,87573517
999,Imany - Don't Be So Shy - Filatov & Karas Remix,23,,73,,4818973,87180720
1000,Anuel Aa - Hipócrita,18,,112,,5406598,86807925
1001,Sebastian Yatra - Alguien Robo,23,,138,,4006711,86804780
