Video,Views,Current avg/day
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,4397043614,1650115
Justin Bieber - Sorry (PURPOSE : The Movement),3243988347,410945
Maroon 5 - Sugar (Official Music Video),3119723020,553938
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),2729988532,521873
Alan Walker - Faded,2648683127,1051482
Adele - Hello,2616009732,369030
Ellie Goulding - Love Me Like You Do (Official Video),2097802325,242273
Justin Bieber - What Do You Mean? (Official Music Video),2069404541,220825
twenty one pilots: Stressed Out [OFFICIAL VIDEO],1943655201,785038
Fifth Harmony - Worth It ft. Kid Ink,1798199072,243048
Silentó - Watch Me (Whip/Nae Nae) (Official Music Video),1707136319,264422
Drake - Hotline Bling,1590434114,286134
Justin Bieber - Love Yourself (Official Music Video),1529482756,160454
The Weeknd - The Hills,1451198896,339187
Taylor Swift - Bad Blood ft. Kendrick Lamar,1340121681,164931
Calvin Harris & Disciples - How Deep Is Your Love,1335529652,184458
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",1335125865,184245
21. El Perdón - Nicky Jam y Enrique Iglesias [Official Music Video YTMAs],1285288673,87533
Joey Montana - Picky,1250422340,58343
Gente de Zona - La Gozadera (Official Music Video) ft. Marc Anthony,1212981965,157598
Shawn Mendes - Stitches (Official Video),1212267279,238756
Ricky Martin - La Mordidita ft. Yotuel (Official Video),1158365921,91707
"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",1120355958,108547
Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),1064402112,166744
The Weeknd - Can't Feel My Face,1054413579,233841
Coldplay - Adventure Of A Lifetime (Official Video),1006897388,334463
OMI - Cheerleader (Felix Jaehn Remix) [Official Video],962630400,193053
Lukas Graham - 7 Years [OFFICIAL MUSIC VIDEO],942335193,248505
twenty one pilots - Ride (Official Video),940109760,478440
Maluma - Borro Cassette (Official Music Video),914058223,113266
HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),907474581,347959
Ed Sheeran - Photograph (Official Music Video),897236881,421638
Ariana Grande - Focus,866590302,116761
Chino & Nacho - Me Voy Enamorando ft. Farruko (Remix) (Official Music Video),848422622,218658
One Direction - Drag Me Down (Official Video),832322640,152937
