artist,title,views,current avg/day
Shakira,Waka Waka,2414744056,855364
Justin Bieber,Baby ft. Ludacris,2186677926,462625
Eminem,Love The Way You Lie ft. Rihanna,1929827416,456970
Adele,Rolling in the Deep,1643336825,287198
Bruno Mars,Just The Way You Are,1437252370,403430
Eminem,Not Afraid,1361270279,251500
Katy Perry,Firework,1218679117,141636
Don Omar,Danza Kuduro ft. Lucenzo,1097220466,103174
a-ha,Take On Me,993236618,483606
Justin Bieber,Never Say Never ft. Jaden Smith,923574497,140297
Bruno Mars,Grenade,912697113,239231
Whitney Houston,I Will Always Love You,903275594,322265
Israel 'IZ' Kamakawiwoʻole,Somewhere over the Rainbow,834561979,348604
Rihanna,What's My Name? ft. Drake,796354651,131718
Rihanna,Only Girl (In The World),754367618,124561
The Police,Every Breath You Take,734126291,293171
Aqua,Barbie Girl,702539607,279848
"Enrique Iglesias, Juan Luis Guerra",Cuando Me Enamoro,661482631,117753
The Chipettes,Single Ladies,605205715,187909
Shakira,Loca (Spanish Version) ft. El Cata,529098685,119702
Rihanna,Rude Boy,520677381,87237
B.o.B,Airplanes (feat. Hayley Williams of Paramore),517034962,113864
Katy Perry,California Gurls ft. Snoop Dogg,509084575,149580
Eminem,No Love ft. Lil Wayne,477550838,108465
Pablo Alborán,Solamente Tú,474576547,176719
Juan Gabriel,Así Fue (En Vivo [Desde el Instituto Nacional de Bellas Artes]),468558920,208771
The Black Eyed Peas,The Time (Dirty Bit),464721834,89160
Nelly,Just A Dream,446933563,198509
CantaJuego,La Mane,432682700,215006
Eminem,The Real Slim Shady,430217776,125296
Justin Bieber,Somebody To Love Remix ft. Usher,425489190,75369
Travie McCoy,Billionaire,407097042,115016
Lady Gaga,Alejandro,378803330,65175
"Sean Kingston, Justin Bieber",Eenie Meenie,368298015,115217
Christina Perri,Jar of Hearts ,364434557,55976
Justin Bieber,Love Me,353905208,86385
Alexandra Stan,Mr. Saxobeat,343697833,22375
Lady Gaga,Telephone ft. Beyoncé,342371312,102665
Enrique Iglesias,No Me Digas Que No,333578587,35202
Avril Lavigne,Complicated,331370200,128481
Maroon 5,Misery,320892929,27118
Flo Rida,Club Can't Handle Me ft. David Guetta,319700405,112845
Alejandro Sanz,Amiga Mia,319091489,115050
Ed Sheeran,The A Team,317660794,73709
Alejandro Fernández,Me Dedique A Perderte,316584497,126454
Phil Collins,Another Day In Paradise,313924946,145065
Camila,Aléjate De Mi,310821157,80274
The Lonley Island,I Just Had Sex,309926474,24527
Michael Jackson,Smooth Criminal,309656028,344659
Skrillex,Scary Monsters And Nice Sprites,308843060,24254
B.o.B,Nothin' On You (feat. Bruno Mars),308106851,101694
Wiz Khalifa,Black And Yellow,300072662,36589
The Black Eyed Peas,Meet Me Halfway,297639491,91008
David Guetta Feat. Kid Cudi,Memories,293985882,130458
"Thalia, Pedro Capó",Estoy Enamorado,293981893,171098
Taylor Swift,Mine,292715310,28943
Jeremih,Down On Me ft. 50 Cent,292422667,52543
Enrique Iglesias,I Like It,291068589,33585
Wisin & Yandel,Estoy Enamorado,290070859,53541
Elton John,Sacrifice,286675243,126162
Justin Bieber,Never Let You Go,285404570,20008
Crazy Frog,Crazy Frog In The House,283831093,634949
The Gummy Bear,La La La I Love You,281749473,113202
Diddy - Dirty Money,Coming Home ft. Skylar Grey,277175940,63851
Santana,Maria Maria ft. The Product G&B,276277552,113727
Usher,DJ Got Us Fallin' In Love ft. Pitbull,268817917,68574
We Are The World 25 For Haiti,Official Video,266831276,76907
Lil Wayne,Drop The World ft. Eminem,262717927,27954
Chris Brown,Yeah 3x,262303555,42328
Aventura,El Malo,258863857,67338
Maná,Mariposa traicionera (Video),257001568,101068
Selena Gomez & The Scene,A Year Without Rain,245272906,20665
Katy Perry,Teenage Dream,241943425,36871
Pitbull,Hey Baby (Drop It To The Floor) ft. T-Pain,240872231,791
Ne-Yo,One In A Million,239846267,59488
Gigi D'Agostino,L'Amour Toujoursm,230150553,186160
Grupo Revelação,Deixa Acontecer,225125535,141298
Wisin & Yandel,Te Siento,224864122,38118
Skillet,Hero,223340177,116460
Tinie Tempah,Written In The Stars ft. Eric Turner,222083115,56233
Goo Goo Dolls,Iris ,219450652,138106
David Guetta & Chris Willis Feat. Fergie & LMFAO,Gettin' Over You,215320000,62509
OneRepublic,Secrets,213465349,40011
Crazy Frog,Last Christmas,211832507,35111
Far East Movement,Like A G6,208645046,36349
P!nk,Raise Your Glass,203559046,31965
Stromae,Alors On Danse,202533507,60241
Mohombi,Bumpy Ride,197327965,47596
Miley Cyrus,Can't Be Tamed,193391068,11338
HA-ASH,Qué hago Yo?,191864278,22326
Phil Collins,In The Air Tonight,191613550,77129
Ciara ft. Ludacris,Ride,187433660,30171
Taio Cruz,Break Your Heart ft. Ludacris,187133440,34364
Taio Cruz,Dynamite,185879533,19686
Heart,Alone,185561737,275475
Sin Bandera,Mientes Tan Bien,184524199,60898
The Band Perry,If I Die Young,184302819,34627
Shontelle,Impossible,181109563,38386
The Catalyst,Linkin Park,180801470,40757
