artist,title,musicChart,year/decade
Ed Sheeran,Shape of You,Spotify,2013-2020
Post Malone,rockstar,Spotify,2013-2020
The Chainsmokers,Closer,Spotify,2013-2020
Drake,One Dance,Spotify,2013-2020
Drake,God's Plan,Spotify,2013-2020
Post Malone & Swae Lee,Sunflower,Spotify,2013-2020
Ed Sheeran,Perfect,Spotify,2013-2020
Camila Cabello,Havana,Spotify,2013-2020
James Arthur,Say You Won't Let Go,Spotify,2013-2020
Imagine Dragons,Believer,Spotify,2013-2020
Ed Sheeran,Thinking out Loud,Spotify,2013-2020
Shawn Mendes & Camila Cabello,Señorita,Spotify,2013-2020
XXXTENTACION,SAD!,Spotify,2013-2020
Imagine Dragons,Thunder,Spotify,2013-2020
Dua Lipa,New Rules,Spotify,2013-2020
Ed Sheeran,Photograph,Spotify,2013-2020
Billie Eilish,bad guy,Spotify,2013-2020
Post Malone,Better Now,Spotify,2013-2020
The Chainsmokers & Coldplay,Something Just Like This,Spotify,2013-2020
Luis Fonsi,Despacito (Remix) ft. Justin Bieber,Spotify,2013-2020
Marshmello ft. Bastille,Happier,Spotify,2013-2020
Juice WRLD,Lucid Dreams,Spotify,2013-2020
Lil Uzi Vert,XO TOUR Llif3,Spotify,2013-2020
Ariana Grande,7 rings,Spotify,2013-2020
Maroon 5,Girls Like You,Spotify,2013-2020
Lady Gaga & Bradley Cooper,Shallow,Spotify,2013-2020
Ariana Grande,"thank u, next",Spotify,2013-2020
Tones and I,Dance Monkey,Spotify,2013-2020
Post Malone,Congratulations,Spotify,2013-2020
XXXTENTACION,Jocelyn Flores,Spotify,2013-2020
Kendrick Lamar,HUMBLE.,Spotify,2013-2020
Justin Bieber,Love Yourself,Spotify,2013-2020
The Weeknd,Starboy,Spotify,2013-2020
Justin Bieber,Sorry,Spotify,2013-2020
The Chainsmokers,Don't Let Me Down,Spotify,2013-2020
Lewis Capaldi,Someone You Loved,Spotify,2013-2020
Travis Scott,SICKO MODE,Spotify,2013-2020
Halsey,Without Me,Spotify,2013-2020
Major Lazer,Lean On,Spotify,2013-2020
Post Malone,Psycho ft. Ty Dolla $ign,Spotify,2013-2020
"Cardi B, Bad Bunny & J Balvin",I Like It,Spotify,2013-2020
"benny blanco, Halsey & Khalid",Eastside,Spotify,2013-2020
DJ Snake,Taki Taki,Spotify,2013-2020
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,Spotify,2013-2020
Lauv,I Like Me Better,Spotify,2013-2020
Ed Sheeran,I Don't Care,Spotify,2013-2020
XXXTENTACION,Moonlight,Spotify,2013-2020
French Montana,Unforgettable,Spotify,2013-2020
Lil Nas X,Old Town Road - Remix,Spotify,2013-2020
DJ Snake ft. Justin Bieber,Let Me Love You,Spotify,2013-2020
5 Seconds of Summer,Youngblood,Spotify,2013-2020
"Calvin Harris, Dua Lipa",One Kiss,Spotify,2013-2020
Drake,In My Feelings,Spotify,2013-2020
"Billie Eilish, Khalid",lovely,Spotify,2013-2020
Post Malone,Wow.,Spotify,2013-2020
Major Lazer,Cold Water,Spotify,2013-2020
Ava Max,Sweet but Psycho,Spotify,2013-2020
Luis Fonsi,Despacito ft. Daddy Yankee,Spotify,2013-2020
Sia,Cheap Thrills,Spotify,2013-2020
Sam Smith,Too Good At Goodbyes,Spotify,2013-2020
Justin Bieber,What Do You Mean?,Spotify,2013-2020
Dua Lipa,IDGAF,Spotify,2013-2020
Daddy Yankee,Con Calma,Spotify,2013-2020
Panic! At The Disco,High Hopes,Spotify,2013-2020
Post Malone,I Fall Apart,Spotify,2013-2020
"Zedd, Maren Morris & Grey",The Middle,Spotify,2013-2020
Bruno Mars,That's What I Like,Spotify,2013-2020
Billie Eilish,when the party's over,Spotify,2013-2020
Twenty One Pilots,Stressed Out,Spotify,2013-2020
DJ Khaled,I'm the One,Spotify,2013-2020
Shawn Mendes,Treat You Better,Spotify,2013-2020
Marshmello,FRIENDS,Spotify,2013-2020
Calvin Harris,This Is What You Came For,Spotify,2013-2020
Justin Timberlake,CAN'T STOP THE FEELING!,Spotify,2013-2020
J Balvin & Willy William,Mi Gente,Spotify,2013-2020
Alan Walker,Faded,Spotify,2013-2020
John Legend,All of Me,Spotify,2013-2020
Charlie Puth,Attention,Spotify,2013-2020
Fifth Harmony,Work from Home,Spotify,2013-2020
Dean Lewis,Be Alright,Spotify,2013-2020
Lukas Graham,7 Years,Spotify,2013-2020
Tyga,Taste,Spotify,2013-2020
Travis Scott,goosebumps,Spotify,2013-2020
Bebe Rexha,Meant to Be,Spotify,2013-2020
Bad Bunny,MIA,Spotify,2013-2020
Pedro Capó,Calma - Remix,Spotify,2013-2020
Ariana Grande,no tears left to cry,Spotify,2013-2020
ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),Spotify,2013-2020
Marshmello,Silence,Spotify,2013-2020
Dynoro,In My Mind,Spotify,2013-2020
Clean Bandit,Rockabye,Spotify,2013-2020
Queen,Bohemian Rhapsody,Spotify,2013-2020
Adele,Hello,Spotify,2013-2020
Kygo & Selena Gomez,It Ain't Me,Spotify,2013-2020
Rihanna,Work,Spotify,2013-2020
Maroon 5,What Lovers Do,Spotify,2013-2020
Anne-Marie,2002,Spotify,2013-2020
Shawn Mendes,Stitches,Spotify,2013-2020
Danny Ocean,Me Rehúso,Spotify,2013-2020
Jonas Brothers,Sucker,Spotify,2013-2020
The Weeknd,Can't Feel My Face,Spotify,2013-2020
Post Malone,Circles,Spotify,2013-2020
Logic,1-800-273-8255,Spotify,2013-2020
Twenty One Pilots,Heathens,Spotify,2013-2020
Charlie Puth,We Don't Talk Anymore,Spotify,2013-2020
Desiigner,Panda,Spotify,2013-2020
Ed Sheeran & Khalid,Beautiful People,Spotify,2013-2020
Major Lazer,Light It Up,Spotify,2013-2020
Khalid,Better,Spotify,2013-2020
"Sam Smith, Normani",Dancing With A Stranger,Spotify,2013-2020
Shawn Mendes,There's Nothing Holdin' Me Back,Spotify,2013-2020
Drake,Hotline Bling,Spotify,2013-2020
Drake,Nice For What,Spotify,2013-2020
Khalid,Young Dumb & Broke,Spotify,2013-2020
Mark Ronson,Uptown Funk,Spotify,2013-2020
Zedd,Stay,Spotify,2013-2020
Selena Gomez,Wolves,Spotify,2013-2020
Future,Mask Off,Spotify,2013-2020
Martin Garrix & Bebe Rexha,In the Name of Love,Spotify,2013-2020
Nio Garcia,Te Boté - Remix,Spotify,2013-2020
The Weeknd,I Feel It Coming ft. Daft Punk,Spotify,2013-2020
Billie Eilish,bury a friend,Spotify,2013-2020
Sam Smith,Stay With Me,Spotify,2013-2020
G-Eazy & Bebe Rexha,"Me, Myself & I",Spotify,2013-2020
Clean Bandit,Symphony,Spotify,2013-2020
Jason Derulo,Swalla,Spotify,2013-2020
BlocBoy JB,Look Alive,Spotify,2013-2020
Zara Larsson,Lush Life,Spotify,2013-2020
Post Malone,Goodbyes,Spotify,2013-2020
DNCE,Cake By The Ocean,Spotify,2013-2020
Clean Bandit,Solo,Spotify,2013-2020
Hozier,Take Me To Church,Spotify,2013-2020
Drake,Too Good,Spotify,2013-2020
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,Spotify,2013-2020
Ed Sheeran,Galway Girl,Spotify,2013-2020
Hailee Steinfeld,Starving,Spotify,2013-2020
The Weeknd,The Hills,Spotify,2013-2020
Ariana Grande,Side To Side,Spotify,2013-2020
Twenty One Pilots,Ride,Spotify,2013-2020
Khalid,Location,Spotify,2013-2020
Mariah Carey,All I Want for Christmas Is You,Spotify,2013-2020
Julia Michaels,Issues,Spotify,2013-2020
The Chainsmokers,Paris,Spotify,2013-2020
Ed Sheeran,Castle on the Hill,Spotify,2013-2020
Bruno Mars,24K Magic,Spotify,2013-2020
"Calvin Harris, Sam Smith",Promises,Spotify,2013-2020
Jack Ü,Where Are Ü Now,Spotify,2013-2020
Bad Bunny,Callaita,Spotify,2013-2020
Lil Tecca,Ransom,Spotify,2013-2020
